param,n_patients,before,during,delta,n_up,n_down,wilcoxon_p
sigL,23,3322.008452977758,6444.410784978591,3122.402332000833,21,2,3.337860107421875e-06
sigR,23,3335.127203093444,6184.422233953905,2849.2950308604604,21,2,1.0251998901367188e-05
c,23,0.7656726878705576,0.7387605241631532,-0.026912163707404627,7,16,0.010109186172485352
A2,23,4.906704765589646,4.014868671173691,-0.8918360944159557,8,15,0.06981706619262695
A3,23,4.75112774249083,4.147926364791348,-0.6032013776994826,8,15,0.09175300598144531
A4,23,4.856652184589591,4.351681787861325,-0.504970396728266,9,14,0.22261524200439453
A1,23,4.838895210464717,4.156848204748081,-0.6820470057166368,9,14,0.25945234298706055
muL,23,59.03267510200706,58.5912171104422,-0.44145799156485926,10,13,0.5803380012512207
muR,23,60.50406878844251,60.15068691709865,-0.3533818713438412,9,14,0.776785135269165
L,23,1364.7922939760801,1340.0951038264548,-24.69719014962575,10,13,0.9643125534057617
