param,n,before,during,delta,n_up,n_down,wilcoxon_p
sigL,131,3130.8878921713144,5723.651033574873,2592.7631414035586,114,17,5.740730502495011e-18
sigR,131,3189.1383629603115,5600.379320567002,2411.2409576066907,109,22,7.426839696246389e-16
c,131,0.7671345008222138,0.7405077764826258,-0.026626724339587987,53,78,0.00016643871032948128
A2,131,4.842351591749326,4.092019798697483,-0.7503317930518422,54,77,0.006760069086836993
muR,131,62.91083698485026,60.099290603072525,-2.8115463817777586,55,76,0.11087333052605676
muL,131,61.168727044526314,58.92365389360604,-2.2450731509202817,54,77,0.11718173947841673
A3,131,4.68980246434477,4.202707008341322,-0.48709545600344806,60,71,0.12489392296555682
A1,131,4.760883241020758,4.328690091198687,-0.4321931498220713,60,71,0.4566927991314752
A4,131,4.729392560500119,4.495386183622803,-0.2340063768773161,59,72,0.5023529361524881
L,131,1414.8511999172815,1397.722654370235,-17.128545547046503,69,62,0.948713408790082
