param,n,before,during,delta,n_up,n_down,wilcoxon_p
sigR,131,535.9269495470891,830.3121367232975,294.38518717620826,95,36,1.0663074559178755e-09
sigL,131,532.7543944013,763.0541844130092,230.29979001170915,92,39,3.0025858300515333e-09
A1,131,0.9293999208734178,0.8572831554151583,-0.07211676545825954,50,81,0.00018409635572496405
A4,131,0.9354341364499409,0.8535591259255604,-0.08187501052438029,56,75,0.008135044110270918
A3,131,0.9542465285289005,0.8468605182281164,-0.10738601030078405,53,78,0.026322205881439246
L,131,442.4149293462531,502.56878580114267,60.15385645488953,79,52,0.026634690933627
A2,131,0.9649859547159717,0.8664635485184423,-0.0985224061975293,55,76,0.031177098010215096
c,131,0.13171038030212684,0.13244649465248592,0.0007361143503590943,59,72,0.1966880031286744
muR,131,25.3209025282085,23.575228037061507,-1.7456744911469915,66,65,0.27721741582332826
muL,131,23.862702384511152,23.974612982489518,0.11191059797835926,65,66,0.9505426815911763
